Commit_SHA,Parent_SHA,File_Path,File_Name,Tool,Status,Normalized_CC_Before,Normalized_CC_After,Normalized_HV_Before,Normalized_HV_After,Comment_Ratio_Before,Comment_Ratio_After,Comment_Readability_Before,Comment_Readability_After,Style_Conformance_Score_Before,Style_Conformance_Score_After,Clone_Density_Before,Clone_Density_After
adcaeab64fb435d35f1f6e9559e591277470ef6d,50a7c87f2cd9ff2b44c59f34561706dfece0f749,javatests/artifacts/dagger/simpleKotlin/settings.gradle,settings.gradle,Gradle,removed,0.3333,0.0,29.8967,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
adcaeab64fb435d35f1f6e9559e591277470ef6d,50a7c87f2cd9ff2b44c59f34561706dfece0f749,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0.3333,0.0522,29.8967,17.9301,0.0,0.0563,0.0,47.73,,,,
49cd79581fe93c2e620cb90e68c72779ed8d5706,e593ef58fcdd4eced8abc083addfcd8dd9e786c8,blessedDeps.gradle,blessedDeps.gradle,Gradle,added,0.0,0.0213,0.0,44.8828,0.0,0.0,0.0,40.75,0.0,1.0,0.0,0.0
49cd79581fe93c2e620cb90e68c72779ed8d5706,e593ef58fcdd4eced8abc083addfcd8dd9e786c8,build.gradle,build.gradle,Gradle,modified,0.2364,0.2321,30.0658,31.1438,0.0147,0.0145,40.03,40.03,0.51,0.5,0.0,0.0
49cd79581fe93c2e620cb90e68c72779ed8d5706,e593ef58fcdd4eced8abc083addfcd8dd9e786c8,epoxy-adapter/build.gradle,build.gradle,Gradle,modified,0.0476,0.0385,40.051,73.0096,0.0,0.0,0.0,0.0,0.33,0.42,0.0,0.0
49cd79581fe93c2e620cb90e68c72779ed8d5706,e593ef58fcdd4eced8abc083addfcd8dd9e786c8,epoxy-annotations/build.gradle,build.gradle,Gradle,modified,0.125,0.125,37.885,42.9838,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0
49cd79581fe93c2e620cb90e68c72779ed8d5706,e593ef58fcdd4eced8abc083addfcd8dd9e786c8,epoxy-processor/build.gradle,build.gradle,Gradle,modified,0.0769,0.0588,39.6154,53.9435,0.0,0.0,0.0,0.0,0.62,0.59,0.0,0.0
49cd79581fe93c2e620cb90e68c72779ed8d5706,e593ef58fcdd4eced8abc083addfcd8dd9e786c8,epoxy-processortest/build.gradle,build.gradle,Gradle,modified,0.0455,0.0455,59.3364,74.895,0.0,0.0,0.0,0.0,0.32,0.32,0.0,0.0
49cd79581fe93c2e620cb90e68c72779ed8d5706,e593ef58fcdd4eced8abc083addfcd8dd9e786c8,epoxy-sample/build.gradle,build.gradle,Gradle,modified,0.0455,0.0385,42.9027,57.4535,0.0,0.0,0.0,61.24,0.32,0.38,0.0,0.0
49cd79581fe93c2e620cb90e68c72779ed8d5706,e593ef58fcdd4eced8abc083addfcd8dd9e786c8,processor/build.gradle,build.gradle,Gradle,modified,0.0714,0.0714,41.4029,62.3343,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0
