Commit_SHA,Parent_SHA,File_Path,File_Name,Tool,Status,Before_Security_Smell_Count,After_Security_Smell_Count,Before_Security_Smell_Density,After_Security_Smell_Density,Before_Security_Smell_Summary,After_Security_Smell_Summary,Before_HARDCODED_CREDENTIALS,Before_INSECURE_URLS,Before_WILDCARD_USAGE,Before_HARDCODED_PATHS_AND_URLS,Before_DEPRECATED_DEPENDENCIES,Before_OUTDATED_DEPENDENCIES,After_HARDCODED_CREDENTIALS,After_INSECURE_URLS,After_WILDCARD_USAGE,After_HARDCODED_PATHS_AND_URLS,After_DEPRECATED_DEPENDENCIES,After_OUTDATED_DEPENDENCIES
64130eacea59c5f95fce454aa5b1a30e84aa0b98,2b92c35faf02480c5e57cb57a2666d41c1f6f273,build.gradle,build.gradle,Gradle,modified,15,15,0.0877,0.0877,HARDCODED_CREDENTIALS;HARDCODED_PATHS_AND_URLS;INSECURE_URLS,HARDCODED_CREDENTIALS;HARDCODED_PATHS_AND_URLS;INSECURE_URLS,1,1,0,1,0,0,1,1,0,1,0,0
64130eacea59c5f95fce454aa5b1a30e84aa0b98,2b92c35faf02480c5e57cb57a2666d41c1f6f273,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,15,15,0.0877,0.0877,HARDCODED_CREDENTIALS;HARDCODED_PATHS_AND_URLS;INSECURE_URLS,HARDCODED_CREDENTIALS;HARDCODED_PATHS_AND_URLS;INSECURE_URLS,1,1,0,1,0,0,1,1,0,1,0,0
3b4c4f5a5147304d8b16a11ee4c90bcc784a0894,59b0f69ba734388f84c93327ebd12bb27172f4a1,App/build.gradle,build.gradle,Gradle,modified,2,2,0.0148,0.014,HARDCODED_PATHS_AND_URLS;WILDCARD_USAGE,HARDCODED_PATHS_AND_URLS;WILDCARD_USAGE,0,0,1,1,0,0,0,0,1,1,0,0
3b4c4f5a5147304d8b16a11ee4c90bcc784a0894,59b0f69ba734388f84c93327ebd12bb27172f4a1,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,2,2,0.0148,0.014,HARDCODED_PATHS_AND_URLS;WILDCARD_USAGE,HARDCODED_PATHS_AND_URLS;WILDCARD_USAGE,0,0,1,1,0,0,0,0,1,1,0,0
c9f9fde75f95eab90c01e1e088710668c9882f83,caca583ad306246083e573d7bab4dc2ec41650a9,app/build.gradle,build.gradle,Gradle,modified,9,9,0.0517,0.0536,HARDCODED_PATHS_AND_URLS;INSECURE_URLS;WILDCARD_USAGE,HARDCODED_PATHS_AND_URLS;INSECURE_URLS;WILDCARD_USAGE,0,1,1,1,0,0,0,1,1,1,0,0
c9f9fde75f95eab90c01e1e088710668c9882f83,caca583ad306246083e573d7bab4dc2ec41650a9,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,9,9,0.0517,0.0536,HARDCODED_PATHS_AND_URLS;INSECURE_URLS;WILDCARD_USAGE,HARDCODED_PATHS_AND_URLS;INSECURE_URLS;WILDCARD_USAGE,0,1,1,1,0,0,0,1,1,1,0,0
14c1e8d7187820d5cf4fc2aeb33b83ce71d48ba8,78945f82d2cc3531b968e2b689ebd77c79d1de57,build.gradle,build.gradle,Gradle,modified,16,16,0.0428,0.0427,HARDCODED_PATHS_AND_URLS;INSECURE_URLS;WILDCARD_USAGE,HARDCODED_PATHS_AND_URLS;INSECURE_URLS;WILDCARD_USAGE,0,1,1,1,0,0,0,1,1,1,0,0
14c1e8d7187820d5cf4fc2aeb33b83ce71d48ba8,78945f82d2cc3531b968e2b689ebd77c79d1de57,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,16,16,0.0428,0.0427,HARDCODED_PATHS_AND_URLS;INSECURE_URLS;WILDCARD_USAGE,HARDCODED_PATHS_AND_URLS;INSECURE_URLS;WILDCARD_USAGE,0,1,1,1,0,0,0,1,1,1,0,0
3c3cbe3527bf79593c7b67e38f718e46e3b02528,6231655f961637701adc4672be2eed08e4cacef1,android/build.gradle,build.gradle,Gradle,modified,1,3,0.0278,0.0268,WILDCARD_USAGE,HARDCODED_PATHS_AND_URLS;WILDCARD_USAGE,0,0,1,0,0,0,0,0,1,1,0,0
3c3cbe3527bf79593c7b67e38f718e46e3b02528,6231655f961637701adc4672be2eed08e4cacef1,example/android/app/build.gradle,build.gradle,Gradle,modified,6,14,0.0441,0.0532,HARDCODED_PATHS_AND_URLS;INSECURE_URLS;WILDCARD_USAGE,HARDCODED_CREDENTIALS;HARDCODED_PATHS_AND_URLS;INSECURE_URLS;WILDCARD_USAGE,0,1,1,1,0,0,1,1,1,1,0,0
3c3cbe3527bf79593c7b67e38f718e46e3b02528,6231655f961637701adc4672be2eed08e4cacef1,example/android/build.gradle,build.gradle,Gradle,modified,0,1,0.0,0.025,,HARDCODED_PATHS_AND_URLS,0,0,0,0,0,0,0,0,0,1,0,0
3c3cbe3527bf79593c7b67e38f718e46e3b02528,6231655f961637701adc4672be2eed08e4cacef1,example/android/settings.gradle,settings.gradle,Gradle,modified,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0
