Commit_SHA,Parent_SHA,File_Path,File_Name,Tool,Status,RE_Before,RE_After,DSS_Before,DSS_After,EDR_Before,EDR_After
c9f9fde75f95eab90c01e1e088710668c9882f83,caca583ad306246083e573d7bab4dc2ec41650a9,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0.9483,0.9464,0.0,0.0,0.9753,0.9753
14c1e8d7187820d5cf4fc2aeb33b83ce71d48ba8,78945f82d2cc3531b968e2b689ebd77c79d1de57,build.gradle,build.gradle,Gradle,modified,0.9572,0.9573,0.9878,0.9878,1.0,1.0
14c1e8d7187820d5cf4fc2aeb33b83ce71d48ba8,78945f82d2cc3531b968e2b689ebd77c79d1de57,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0.9572,0.9573,0.9878,0.9878,1.0,1.0
3c3cbe3527bf79593c7b67e38f718e46e3b02528,6231655f961637701adc4672be2eed08e4cacef1,android/build.gradle,build.gradle,Gradle,modified,0.9722,0.9732,0.5,0.5,1.0,1.0
3c3cbe3527bf79593c7b67e38f718e46e3b02528,6231655f961637701adc4672be2eed08e4cacef1,example/android/app/build.gradle,build.gradle,Gradle,modified,0.9559,0.9468,0.0,0.5,0.875,0.8667
3c3cbe3527bf79593c7b67e38f718e46e3b02528,6231655f961637701adc4672be2eed08e4cacef1,example/android/build.gradle,build.gradle,Gradle,modified,1.0,0.975,0.0,0.0,1.0,1.0
3c3cbe3527bf79593c7b67e38f718e46e3b02528,6231655f961637701adc4672be2eed08e4cacef1,example/android/settings.gradle,settings.gradle,Gradle,modified,1.0,1.0,0.0,0.0,0.0,0.0
3c3cbe3527bf79593c7b67e38f718e46e3b02528,6231655f961637701adc4672be2eed08e4cacef1,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0.9653,0.9574,0.25,0.5,0.9048,0.9118
f2d9fa675e97ef4c07163448296929a9a5bae8b9,0fd9cb780e5ac06daa74383abb30f7a745fd77f3,build.xml,build.xml,Ant,modified,0.8786,0.9,0.0,0.0,0.0,0.0
f2d9fa675e97ef4c07163448296929a9a5bae8b9,0fd9cb780e5ac06daa74383abb30f7a745fd77f3,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0.8786,0.9,0.0,0.0,0.0,0.0
208e81c971f0a92d9cc17ca07ef2aad926a53863,549742cab6f4be56ccadcb258c380f9363bb066e,build.xml,build.xml,Ant,modified,0.9245,0.9205,0.0,0.0,0.0,0.0
208e81c971f0a92d9cc17ca07ef2aad926a53863,549742cab6f4be56ccadcb258c380f9363bb066e,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0.9245,0.9205,0.0,0.0,0.0,0.0
ae44501eee3ace9fd670d0e0a62d2ca076920c8b,7ae55f5a9ffb3e40b3f08382fa5f74c9693e06e9,build.xml,build.xml,Ant,modified,0.9714,0.9409,0.0,0.0,0.0,0.0
ae44501eee3ace9fd670d0e0a62d2ca076920c8b,7ae55f5a9ffb3e40b3f08382fa5f74c9693e06e9,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0.9714,0.9409,0.0,0.0,0.0,0.0
68ce18ab2b2bec4f866dc2306a79e69b38907742,485bb8e33ede789c578512250e5932f095d3466a,build.xml,build.xml,Ant,modified,0.875,0.8842,0.0,0.0,0.0,0.0
68ce18ab2b2bec4f866dc2306a79e69b38907742,485bb8e33ede789c578512250e5932f095d3466a,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0.875,0.8842,0.0,0.0,0.0,0.0
3fb402dd59c6363f096717a9d2f27b5559886a97,117dc3182e481c725db167aacbe22f9f86d61a66,build.xml,build.xml,Ant,modified,0.9609,0.9609,0.0,0.0,0.0,0.0
3fb402dd59c6363f096717a9d2f27b5559886a97,117dc3182e481c725db167aacbe22f9f86d61a66,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0.9609,0.9609,0.0,0.0,0.0,0.0
