Commit_SHA,Parent_SHA,File_Path,File_Name,Tool,Status,CP_Internal_Before,CP_Internal_After,CP_External_Before,CP_External_After,NCP_Internal_Before,NCP_Internal_After,NCP_External_Before,NCP_External_After,Build_Cohesion_Before,Build_Cohesion_After,Clone_Density_Before,Clone_Density_After
14c1e8d7187820d5cf4fc2aeb33b83ce71d48ba8,78945f82d2cc3531b968e2b689ebd77c79d1de57,build.gradle,build.gradle,Gradle,modified,0,0,201,200,0.0,0.0,0.5374,0.5333,1.0,0.0,0.0,0.0
14c1e8d7187820d5cf4fc2aeb33b83ce71d48ba8,78945f82d2cc3531b968e2b689ebd77c79d1de57,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0,0,201,200,0.0,0.0,0.5374,0.5333,,,,
3c3cbe3527bf79593c7b67e38f718e46e3b02528,6231655f961637701adc4672be2eed08e4cacef1,android/build.gradle,build.gradle,Gradle,modified,0,0,7,12,0.0,0.0,0.1944,0.1071,0.0,0.0,0.0,0.0
3c3cbe3527bf79593c7b67e38f718e46e3b02528,6231655f961637701adc4672be2eed08e4cacef1,example/android/app/build.gradle,build.gradle,Gradle,modified,0,1,8,14,0.0,0.0038,0.0588,0.0532,0.0,1.0,0.0,0.0
3c3cbe3527bf79593c7b67e38f718e46e3b02528,6231655f961637701adc4672be2eed08e4cacef1,example/android/build.gradle,build.gradle,Gradle,modified,0,0,5,6,0.0,0.0,0.1923,0.15,0.0,0.0,0.0,0.0
3c3cbe3527bf79593c7b67e38f718e46e3b02528,6231655f961637701adc4672be2eed08e4cacef1,example/android/settings.gradle,settings.gradle,Gradle,modified,0,0,1,1,0.0,0.0,0.25,0.125,0.0,0.0,0.0,0.0
3c3cbe3527bf79593c7b67e38f718e46e3b02528,6231655f961637701adc4672be2eed08e4cacef1,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0,1,21,33,0.0,0.0024,0.104,0.078,,,,
f2d9fa675e97ef4c07163448296929a9a5bae8b9,0fd9cb780e5ac06daa74383abb30f7a745fd77f3,build.xml,build.xml,Ant,modified,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.081,0.039
f2d9fa675e97ef4c07163448296929a9a5bae8b9,0fd9cb780e5ac06daa74383abb30f7a745fd77f3,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0,0,0,0,0.0,0.0,0.0,0.0,,,,
208e81c971f0a92d9cc17ca07ef2aad926a53863,549742cab6f4be56ccadcb258c380f9363bb066e,build.xml,build.xml,Ant,modified,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.482,0.472
208e81c971f0a92d9cc17ca07ef2aad926a53863,549742cab6f4be56ccadcb258c380f9363bb066e,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0,0,0,0,0.0,0.0,0.0,0.0,,,,
ae44501eee3ace9fd670d0e0a62d2ca076920c8b,7ae55f5a9ffb3e40b3f08382fa5f74c9693e06e9,build.xml,build.xml,Ant,modified,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.264,0.386
ae44501eee3ace9fd670d0e0a62d2ca076920c8b,7ae55f5a9ffb3e40b3f08382fa5f74c9693e06e9,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0,0,0,0,0.0,0.0,0.0,0.0,,,,
68ce18ab2b2bec4f866dc2306a79e69b38907742,485bb8e33ede789c578512250e5932f095d3466a,build.xml,build.xml,Ant,modified,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68ce18ab2b2bec4f866dc2306a79e69b38907742,485bb8e33ede789c578512250e5932f095d3466a,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0,0,0,0,0.0,0.0,0.0,0.0,,,,
3fb402dd59c6363f096717a9d2f27b5559886a97,117dc3182e481c725db167aacbe22f9f86d61a66,build.xml,build.xml,Ant,modified,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.219,0.221
3fb402dd59c6363f096717a9d2f27b5559886a97,117dc3182e481c725db167aacbe22f9f86d61a66,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0,0,0,0,0.0,0.0,0.0,0.0,,,,
